N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"80,100",600,-0.74%,100,"4,781,796","5,969,783",53.57,"12,556,487",19.23,9.99,
2,SK하이닉스,"124,500","3,000",-2.35%,"5,000","906,363","728,002",49.80,"3,303,261",17.78,9.53,
3,카카오,"160,000","3,000",-1.84%,100,"710,287","443,930",32.21,"4,609,783",232.90,2.70,
4,NAVER,"413,000","4,500",-1.08%,100,"678,408","164,263",57.03,"589,176",4.21,15.22,
5,삼성전자우,"73,400",300,-0.41%,100,"603,999","822,887",76.08,"1,191,427",17.62,N/A,
6,LG화학,"845,000","5,000",-0.59%,"5,000","596,505","70,592",46.64,"316,366",36.78,2.93,
7,삼성바이오로직스,"855,000","14,000",+1.66%,"2,500","565,711","66,165",10.21,"106,145",213.22,N/A,
8,현대차,"242,000","2,500",+1.04%,"5,000","517,077","213,668",29.75,"1,025,525",29.29,2.04,
9,삼성SDI,"724,000","26,000",+3.72%,"5,000","497,855","68,765",43.13,"597,806",70.92,4.54,
10,셀트리온,"267,500","1,000",-0.37%,"1,000","368,927","137,917",20.64,"466,444",61.37,16.68,
11,기아,"90,500",900,+1.00%,"5,000","366,854","405,363",33.67,"2,949,200",16.26,5.05,
12,POSCO,"345,000","3,000",-0.86%,"5,000","300,795","87,187",53.81,"213,993",13.48,3.61,
13,LG생활건강,"1,770,000","8,000",+0.45%,"5,000","276,442","15,618",46.48,"28,267",38.15,17.92,
14,현대모비스,"287,000","5,000",-1.71%,"5,000","272,056","94,793",36.71,"459,500",15.32,4.66,
15,LG전자,"162,000","1,500",-0.92%,"5,000","265,109","163,648",31.22,"771,185",15.09,13.23,
16,삼성물산,"134,000","2,500",-1.83%,100,"250,429","186,887",14.85,"307,577",15.96,3.81,
17,SK이노베이션,"269,500","26,000",-8.80%,"5,000","249,195","92,466",24.05,"5,409,463",-25.48,-13.58,
18,KB금융,"54,700","1,100",-1.97%,"5,000","227,447","415,808",68.92,"1,801,217",5.69,8.53,
19,SK텔레콤,"315,000","5,000",-1.56%,500,"226,989","72,060",45.71,"189,286",14.51,6.44,
20,신한지주,"40,100",500,-1.23%,"5,000","207,156","516,600",60.69,"1,186,491",5.63,8.20,
21,SK,"276,500","6,000",-2.12%,200,"194,546","70,360",20.35,"198,858",32.20,1.11,
22,엔씨소프트,"834,000","14,000",+1.71%,500,"183,097","21,954",51.84,"91,703",38.72,20.83,
23,삼성생명,"79,200",600,-0.75%,500,"158,400","200,000",13.35,"234,646",7.46,3.53,
24,LG,"100,500","2,000",-1.95%,"5,000","158,087","157,301",33.64,"364,661",9.22,7.50,
25,한국전력,"24,600",250,-1.01%,"5,000","157,923","641,964",15.45,"2,035,409",7.69,2.91,
26,HMM,"44,200",300,+0.68%,"5,000","152,663","345,392",12.78,"3,180,449",41.90,8.93,
27,아모레퍼시픽,"248,000","4,000",-1.59%,500,"144,977","58,458",33.93,"349,868",173.55,0.78,
28,삼성에스디에스,"186,000","1,000",+0.54%,500,"143,923","77,378",11.91,"83,811",22.87,6.71,
29,하나금융지주,"45,300",750,-1.63%,"5,000","136,010","300,242",68.41,"699,369",4.83,8.96,
30,SK아이이테크놀로지,"186,500","3,500",+1.91%,"1,000","132,970","71,298",5.96,"1,488,971",N/A,11.00,
31,삼성전기,"177,000",0,0.00%,"5,000","132,208","74,694",31.45,"255,235",19.48,10.92,
32,SK바이오사이언스,"158,500",0,0.00%,500,"121,252","76,500",3.55,"315,151",123.15,13.25,
33,넷마블,"139,500","5,500",+4.10%,100,"119,905","85,954",22.94,"670,796",37.95,6.35,
34,하이브,"302,000","9,500",+3.25%,500,"117,571","38,931",14.40,"731,625",107.44,12.52,
35,KT&G,"84,500",100,+0.12%,"5,000","116,012","137,292",37.98,"366,192",10.07,13.22,
36,포스코케미칼,"148,000","4,000",+2.78%,500,"114,646","77,463",7.72,"431,303",177.88,2.96,
37,S-Oil,"101,000","1,500",-1.46%,"2,500","113,709","112,583",77.34,"221,589",27.44,-13.07,
38,대한항공,"31,250",250,-0.79%,"5,000","108,694","347,821",10.96,"1,629,222",13.36,-7.22,
39,두산중공업,"24,850","1,000",+4.19%,"5,000","104,987","422,483",6.81,"10,717,938",-13.96,-37.20,
40,삼성화재,"218,000","2,500",-1.13%,500,"103,277","47,375",48.17,"87,576",10.86,4.96,
41,SK바이오팜,"128,000","5,000",+4.07%,500,"100,241","78,313",7.19,"584,338",-185.78,-135.18,
42,한국조선해양,"132,000","2,000",-1.49%,"5,000","93,421","70,773",17.86,"279,413",-10.10,-7.42,
43,롯데케미칼,"262,000",500,-0.19%,"5,000","89,802","34,275",26.48,"95,398",12.10,1.22,
44,한온시스템,"16,650",100,+0.60%,100,"88,878","533,800",18.75,"1,078,125",65.81,5.09,
45,LG디스플레이,"24,450",50,-0.20%,"5,000","87,486","357,816",19.67,"2,116,926",25.90,-0.79,
46,한화솔루션,"44,500",50,-0.11%,"5,000","85,119","191,278",17.30,"927,302",11.93,5.30,
47,우리금융지주,"11,450",0,0.00%,"5,000","82,700","722,268",25.91,"1,391,329",5.68,5.87,
48,KT,"31,600",200,-0.63%,"5,000","82,511","261,112",44.12,"590,828",10.97,4.76,
49,고려아연,"430,000","1,500",-0.35%,"5,000","81,141","18,870",21.40,"23,788",12.59,8.37,
50,현대글로비스,"206,000","3,000",-1.44%,500,"77,250","37,500",34.68,"141,521",13.43,12.45,
51,기업은행,"10,350",150,-1.43%,"5,000","77,035","744,301",12.76,"1,487,496",5.07,6.44,
52,현대제철,"53,500",200,-0.37%,"5,000","71,393","133,446",19.88,"517,308",-68.15,-2.59,
53,CJ제일제당,"454,000","7,000",-1.52%,"5,000","68,346","15,054",25.25,"36,529",18.26,13.50,
54,금호석유,"220,000","1,000",+0.46%,"5,000","67,029","30,468",23.16,"298,769",7.92,20.18,
55,LG유플러스,"14,950",400,-2.61%,"5,000","65,273","436,611",33.22,"2,197,625",12.59,6.46,
56,한국타이어앤테크놀로지,"52,200",500,+0.97%,500,"64,663","123,875",42.02,"288,467",14.38,5.12,
57,현대건설,"57,800",500,-0.86%,"5,000","64,364","111,356",21.60,"796,272",52.26,1.84,
58,코웨이,"81,500","2,800",+3.56%,500,"60,147","73,800",59.08,"487,650",14.02,31.51,
59,미래에셋증권,"9,370",60,-0.64%,"5,000","59,529","635,316",14.43,"1,285,540",7.47,8.94,
60,SKC,"156,000","2,500",-1.58%,"5,000","59,075","37,868",13.58,"421,517","-2,476.19",2.21,
61,강원랜드,"26,850",50,-0.19%,500,"57,443","213,940",19.72,"672,887",-35.75,-7.92,
62,한국금융지주,"101,000","2,000",-1.94%,"5,000","56,283","55,726",32.68,"436,454",4.51,16.27,
63,한미사이언스,"82,200","5,700",+7.45%,500,"55,324","67,305",1.75,"1,630,622",200.00,3.47,
64,현대중공업지주,"69,900",900,-1.27%,"1,000","55,216","78,993",17.12,"241,579",-24.41,-8.12,
65,LG이노텍,"226,500","3,500",+1.57%,"5,000","53,606","23,667",31.46,"137,444",13.17,10.20,
66,아모레G,"63,800",200,-0.31%,500,"52,608","82,458",17.90,"195,602",125.10,0.31,
67,두산밥캣,"47,600",400,-0.83%,500,"47,719","100,249",25.80,"157,284",14.49,6.15,
68,오리온,"120,500","2,000",+1.69%,500,"47,641","39,536",38.86,"106,018",17.90,15.50,
69,삼성엔지니어링,"23,950",50,+0.21%,"5,000","46,942","196,000",30.12,"4,871,647",16.59,16.75,
70,팬오션,"8,770",230,+2.69%,"1,000","46,882","534,570",11.17,"15,956,965",37.32,3.25,
71,맥쿼리인프라,"12,450",100,-0.80%,0,"46,338","372,192",14.92,"1,111,068",N/A,N/A,
72,유한양행,"65,600","2,500",+3.96%,"1,000","45,902","69,973",18.38,"738,671",47.85,11.06,
73,신풍제약,"85,300",700,-0.81%,500,"45,196","52,985",9.19,"1,883,180",991.86,1.72,
74,이마트,"159,000","1,000",-0.62%,"5,000","44,323","27,876",31.99,"116,544",10.97,4.05,
75,한진칼,"65,600",400,-0.61%,"2,500","43,693","66,605",15.12,"97,894",-53.42,-19.55,
76,GS,"46,250",0,0.00%,"5,000","42,973","92,915",19.26,"347,742",6.79,-2.82,
77,한미약품,"351,500","17,000",+5.08%,"2,500","42,455","12,078",13.53,"183,286",180.91,1.65,
78,삼성중공업,"6,680",30,-0.45%,"5,000","42,084","630,000",14.22,"5,022,571",-2.35,-33.06,
79,현대차2우B,"115,000",0,0.00%,"5,000","41,958","36,485",61.34,"95,739",13.92,N/A,
80,F&F,"544,000","16,000",-2.86%,500,"41,678","7,661",10.88,"54,946",N/A,N/A,
81,CJ대한통운,"182,000","5,000",+2.82%,"5,000","41,518","22,812",22.96,"78,167",34.58,3.89,
82,쌍용C&E,"8,220",130,-1.56%,100,"41,417","503,860",3.35,"1,138,462",30.00,7.92,
83,롯데지주,"39,300",900,-2.24%,200,"41,229","104,909",8.25,"323,811",-96.56,-3.03,
84,KODEX 200,"43,640",255,-0.58%,0,"40,782","93,450",3.66,"3,117,261",N/A,N/A,
85,삼성증권,"44,350",600,-1.33%,"5,000","39,605","89,300",28.27,"254,658",5.07,9.89,
86,삼성카드,"34,050",250,-0.73%,"5,000","39,450","115,859",8.35,"132,502",9.28,5.69,
87,녹십자,"335,500","7,000",+2.13%,"5,000","39,208","11,687",21.29,"82,939",39.16,7.48,
88,효성티앤씨,"892,000","8,000",-0.89%,"5,000","38,603","4,328",23.77,"126,637",15.06,25.10,
89,현대오토에버,"139,000","3,500",+2.58%,500,"38,119","27,424",1.46,"90,154",49.54,11.09,
90,DB손해보험,"53,700","1,100",-2.01%,500,"38,020","70,800",43.66,"164,659",6.13,9.08,
91,호텔신라,"95,900","1,100",-1.13%,"5,000","37,639","39,248",20.11,"350,390",-18.15,-36.74,
92,대우조선해양,"35,000",800,-2.23%,"5,000","37,552","107,291",7.13,"370,327",-9.61,2.27,
93,GS건설,"42,300",600,-1.40%,"5,000","36,201","85,581",26.46,"744,448",10.17,7.68,
94,NH투자증권,"12,650",250,-1.94%,"5,000","35,598","281,409",17.78,"538,237",4.73,10.32,
95,현대미포조선,"86,700",700,-0.80%,"5,000","34,630","39,942",10.42,"254,583",-105.86,-0.84,
96,휠라홀딩스,"57,000","1,200",-2.06%,"1,000","34,629","60,752",46.51,"354,410",18.19,10.94,
97,일진머티리얼즈,"73,300",300,+0.41%,500,"33,799","46,111",9.25,"195,304",84.06,7.23,
98,한국가스공사,"36,450",450,-1.22%,"5,000","33,648","92,313",6.89,"328,632",-17.14,-2.24,
99,두산인프라코어,"14,450",0,0.00%,"5,000","33,408","231,195",9.72,0,13.75,6.47,
100,키움증권,"127,500","3,500",-2.67%,"5,000","33,394","26,191",23.26,"138,462",3.40,27.63,
101,두산퓨얼셀,"50,200",200,+0.40%,100,"32,878","65,494",12.04,"490,944",283.62,4.18,
102,대우건설,"7,880",70,-0.88%,"5,000","32,751","415,623",8.72,"6,839,141",8.85,11.06,
103,롯데쇼핑,"114,500","1,000",-0.87%,"5,000","32,391","28,289",10.93,"99,666",-4.30,-7.70,
104,한화생명,"3,720",35,-0.93%,"5,000","32,309","868,530",7.44,"3,052,801",6.90,1.90,
105,메리츠증권,"4,690",45,-0.95%,"1,000","31,973","681,731",14.10,"1,449,103",5.18,13.08,
106,한화시스템,"16,850",200,-1.17%,"5,000","31,833","188,919",2.44,"642,254",19.28,9.35,
107,한국항공우주,"32,650",250,-0.76%,"5,000","31,826","97,475",13.18,"340,068",413.29,6.39,
108,씨에스윈드,"75,000","2,500",-3.23%,500,"31,629","42,171",10.58,"605,746",60.44,8.19,
109,에스원,"82,500",600,+0.73%,500,"31,349","37,999",54.55,"78,938",20.98,10.48,
110,CJ,"106,500",500,-0.47%,"5,000","31,074","29,177",17.69,"66,992",-281.00,1.89,
111,만도,"65,100","1,400",-2.11%,"1,000","30,569","46,957",25.28,"549,119",65.69,0.37,
112,SK케미칼,"259,000","1,000",-0.38%,"5,000","30,436","11,751",18.38,"80,387",11.75,30.49,
113,동서,"30,300",200,-0.66%,500,"30,209","99,700",3.52,"65,534",26.42,8.61,
114,LG화학우,"385,500","2,000",+0.52%,"5,000","29,640","7,689",66.44,"24,378",16.78,N/A,
115,KCC,"333,500","10,000",-2.91%,"5,000","29,636","8,886",11.80,"47,916",3.44,12.79,
116,BGF리테일,"170,000","9,500",-5.29%,"1,000","29,383","17,284",32.35,"130,510",23.21,18.60,
117,제일기획,"25,500",350,+1.39%,200,"29,336","115,041",33.71,"790,324",17.68,16.11,
118,OCI,"122,500","5,000",+4.26%,"5,000","29,215","23,849",15.83,"919,385",-19.20,-9.89,
119,포스코인터내셔널,"23,650",350,+1.50%,"5,000","29,178","123,375",11.98,"1,063,731",11.28,7.69,
120,GS리테일,"37,800",850,-2.20%,"1,000","29,106","77,000",10.65,"529,619",19.42,7.50,
121,메리츠금융지주,"21,250",50,+0.24%,500,"28,477","134,011",7.92,"326,210",4.97,16.06,
122,현대위아,"103,000","1,500",+1.48%,"5,000","28,011","27,195",7.84,"464,240",181.98,1.96,
123,현대차우,"115,000",500,-0.43%,"5,000","28,010","24,357",58.78,"51,425",13.92,N/A,
124,대웅,"47,800","1,050",+2.25%,500,"27,792","58,142",3.78,"664,593",32.30,15.10,
125,DL이앤씨,"143,500","1,500",+1.06%,"5,000","27,780","19,359",28.17,"349,851",N/A,N/A,
126,신세계,"282,000","3,500",-1.23%,"5,000","27,763","9,845",27.80,"63,299",-86.85,-2.81,
127,DB하이텍,"62,400",0,0.00%,"5,000","27,705","44,399",17.21,"970,837",17.49,23.07,
128,한솔케미칼,"240,500","5,000",-2.04%,"5,000","27,261","11,335",42.07,"40,264",21.02,24.50,
129,더존비즈온,"88,500","5,500",+6.63%,500,"26,851","30,341",38.18,"866,996",49.28,15.09,
130,현대로템,"24,050",200,-0.82%,"5,000","26,249","109,142",4.27,"1,329,925",55.67,2.84,
131,대한전선,"3,030",40,-1.30%,500,"25,951","856,473",2.63,"14,263,530",216.43,0.92,
132,하이트진로,"36,850",850,-2.25%,"5,000","25,844","70,134",7.19,"666,278",31.88,8.23,
133,BNK금융지주,"7,650",80,-1.03%,"5,000","24,934","325,935",38.31,"1,221,302",4.34,6.11,
134,KODEX 단기채권,"102,775",0,0.00%,0,"24,889","24,217",0.00,"2,394",N/A,N/A,
135,KODEX 200선물인버스2X,"1,875",25,+1.35%,0,"24,881","1,327,000",2.67,"105,541,555",N/A,N/A,
136,한샘,"104,500","2,000",+1.95%,"1,000","24,593","23,534",22.45,"73,156",33.53,10.83,
137,메리츠화재,"20,300",100,-0.49%,500,"24,487","120,625",10.92,"897,436",5.14,16.91,
138,한화에어로스페이스,"47,150",150,+0.32%,"5,000","23,872","50,630",19.45,"392,939",10.69,4.78,
139,한화,"31,400",350,-1.10%,"5,000","23,537","74,959",18.28,"260,025",8.04,4.79,
140,LS,"71,100",300,+0.42%,"5,000","22,894","32,200",14.59,"214,831",12.52,3.94,
141,현대해상,"25,500",0,0.00%,500,"22,797","89,400",28.88,"531,525",6.16,7.13,
142,효성,"106,500","3,500",+3.40%,"5,000","22,441","21,071",9.71,"271,072",79.60,-2.26,
143,금호타이어,"7,740",280,-3.49%,"5,000","22,234","287,260",4.39,"1,444,100",-146.04,-6.74,
144,코오롱인더,"80,900",100,+0.12%,"5,000","21,826","26,979",18.45,"470,267",26.81,9.70,
145,TIGER 200,"43,665",250,-0.57%,0,"21,767","49,850",0.16,"608,535",N/A,N/A,
146,현대엘리베이,"52,500",600,-1.13%,"5,000","21,428","40,815",28.99,"132,840",19.15,9.78,
147,진원생명과학,"46,650",650,-1.37%,"1,000","21,081","45,189",16.60,"9,956,984",-106.75,-30.43,
148,동국제강,"22,000",200,-0.90%,"5,000","20,995","95,433",21.93,"898,006",9.97,3.35,
149,대웅제약,"177,000","5,000",+2.91%,"2,500","20,508","11,587",5.47,"83,888",-185.92,2.38,
150,HDC현대산업개발,"31,050",450,-1.43%,"5,000","20,464","65,907",11.47,"414,823",9.89,8.85,
151,효성첨단소재,"454,000","13,500",+3.06%,"5,000","20,339","4,480",10.41,"161,429",56.04,0.03,
152,현대백화점,"86,800",600,-0.69%,"5,000","20,313","23,402",20.02,"78,293",20.84,1.65,
153,오뚜기,"541,000","3,000",-0.55%,"5,000","19,865","3,672",13.04,"5,572",20.51,7.93,
154,영원무역,"44,100",300,-0.68%,500,"19,541","44,311",26.89,"61,506",12.64,8.03,
155,프레스티지바이오파마,"32,100",900,-2.73%,0,"19,291","60,096",63.81,"652,787",-95.54,N/A,
156,한전KPS,"42,750",100,-0.23%,200,"19,238","45,000",8.75,"291,169",17.83,8.23,
157,한국앤컴퍼니,"20,150",200,-0.98%,500,"19,129","94,935",10.07,"129,095",9.29,5.08,
158,농심,"314,000",500,+0.16%,"5,000","19,099","6,083",13.75,"25,329",14.83,7.50,
159,KODEX 삼성그룹,"10,365",65,+0.63%,0,"18,958","182,900",0.06,"321,065",N/A,N/A,
160,아이에스동서,"61,100",300,+0.49%,500,"18,875","30,893",4.88,"78,041",14.77,10.92,
161,한전기술,"48,900","1,600",-3.17%,200,"18,690","38,220",2.52,"615,893",111.64,N/A,
162,KG동부제철,"17,500",350,-1.96%,"5,000","17,502","100,009",1.29,"743,746",19.40,7.18,
163,롯데정밀화학,"66,900",900,+1.36%,"5,000","17,260","25,800",20.36,"386,900",8.80,12.65,
164,에스엘,"35,800",100,+0.28%,500,"17,257","48,203",16.80,"189,527",15.63,4.74,
165,지누스,"107,000","4,000",+3.88%,500,"16,906","15,800",23.37,"156,465",35.31,11.61,
166,LS ELECTRIC,"56,300",400,+0.72%,"5,000","16,890","30,000",14.23,"78,780",21.46,6.15,
167,한미반도체,"34,100",250,+0.74%,200,"16,866","49,460",6.93,"1,205,139",27.86,21.03,
168,DL,"79,700",300,-0.37%,"5,000","16,702","20,956",15.97,"92,102",4.28,11.84,
169,녹십자홀딩스,"35,250","1,150",+3.37%,500,"16,577","47,028",4.92,"375,595",9.36,19.74,
170,NHN,"84,200",800,+0.96%,500,"16,474","19,565",11.77,"160,025",61.46,1.35,
171,LG생활건강우,"783,000","18,000",+2.35%,"5,000","16,441","2,100",85.31,"1,929",16.88,N/A,
172,KODEX 단기채권PLUS,"103,065",5,0.00%,0,"16,390","15,903",0.00,"425,026",N/A,N/A,
173,종근당,"141,500","4,500",+3.28%,"2,500","16,168","11,426",8.07,"127,674",18.21,17.88,
174,솔루스첨단소재,"51,200",400,-0.78%,100,"15,662","30,590",6.16,"217,629",-141.44,-5.10,
175,두산,"94,100","1,600",-1.67%,"5,000","15,549","16,524",11.26,"68,045",-11.33,-34.34,
176,대한유화,"239,000","1,000",+0.42%,"5,000","15,535","6,500",19.82,"55,119",6.81,6.93,
177,DGB금융지주,"9,180",120,-1.29%,"5,000","15,528","169,146",48.36,"496,952",4.22,6.93,
178,명신산업,"28,350",50,-0.18%,500,"14,875","52,470",1.05,"182,325",-12.29,-67.39,
179,SK네트웍스,"5,990",30,-0.50%,"2,500","14,866","248,188",12.72,"568,290",14.36,1.63,
180,JB금융지주,"7,450",80,-1.06%,"5,000","14,675","196,983",41.10,"399,817",3.68,10.06,
181,롯데리츠,"5,980",20,+0.34%,500,"14,530","242,969",9.57,"524,103",34.77,1.83,
182,부광약품,"20,350",100,+0.49%,500,"14,461","71,063",4.99,"427,671",-153.01,-2.46,
183,신세계인터내셔날,"201,500","2,500",-1.23%,"5,000","14,387","7,140",5.31,"22,444",20.65,8.24,
184,솔루엠,"28,850",700,+2.49%,500,"14,369","49,806",4.50,"610,181",28.23,43.26,
185,KODEX 종합채권(AA-이상)액티브,"108,635",70,+0.06%,0,"14,344","13,204",0.00,"15,636",N/A,N/A,
186,KODEX 200TR,"14,280",105,-0.73%,0,"14,266","99,900",0.02,"44,969",N/A,N/A,
187,KODEX 레버리지,"28,925",375,-1.28%,0,"14,000","48,400",6.54,"12,082,878",N/A,N/A,
188,롯데관광개발,"20,050",100,-0.50%,500,"13,890","69,276",4.22,"379,913",-11.21,-30.43,
189,세방전지,"96,700",300,-0.31%,500,"13,538","14,000",25.12,"88,250",17.55,6.14,
190,LG전자우,"78,200",500,-0.64%,"5,000","13,439","17,186",40.90,"91,525",7.28,N/A,
191,한국콜마,"58,000",0,0.00%,500,"13,271","22,881",27.37,"118,716",8.29,29.27,
192,이노션,"66,200",200,+0.30%,500,"13,240","20,000",30.19,"55,197",22.54,8.28,
193,코스맥스,"131,000",0,0.00%,500,"13,165","10,050",23.16,"55,429",41.21,6.23,
194,태광산업,"1,167,000","1,000",+0.09%,"5,000","12,993","1,113",7.23,"1,119",10.29,3.26,
195,KODEX 2차전지산업,"19,260",25,+0.13%,0,"12,846","66,700",0.11,"2,007,018",N/A,N/A,
196,아시아나항공,"17,200",0,0.00%,"5,000","12,799","74,412",20.77,0,-19.07,-43.83,
197,롯데칠성,"142,500","2,500",-1.72%,500,"12,790","8,975",9.08,"33,843",192.05,-1.00,
198,다우기술,"28,400",100,-0.35%,500,"12,742","44,867",22.06,"175,219",3.36,18.85,
199,효성화학,"384,000","34,000",+9.71%,"5,000","12,250","3,190",9.52,"276,652",41.93,-2.71,
200,보령제약,"23,500",100,-0.42%,500,"12,248","52,120",6.62,"224,057",32.37,8.62,
